GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.ScanStatus.,56,0,0,0,7,0,8,0,8,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetOptions,14,39,0,0,0,7,4,7,4,7
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipSceneType.,104,0,0,0,13,0,14,0,14,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventLoginPayload,10,0,0,0,2,0,3,0,3,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactPayload,33,61,0,0,0,15,11,16,11,16
report/wechaty-puppet_2.12,wechaty.puppet.schemas,RoomInvitation.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet,14,0,0,0,0,0,4,0,4,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayloadReceive,24,0,0,0,4,0,7,0,7,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.WechatAppMessageType.,160,0,0,0,20,0,21,0,21,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Room.RoomQueryFilter,17,0,0,0,4,0,5,0,5,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventMessagePayload,0,10,0,0,0,2,0,3,0,3
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetEventName.,6,138,0,0,0,18,2,17,2,17
report/wechaty-puppet_2.12,wechaty.puppet.schemas,UrlLink.UrlLinkPayload,31,0,0,0,6,0,9,0,9,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayload,38,0,0,0,7,0,11,0,11,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,RoomInvitation.RoomInvitationPayload,66,0,0,0,11,0,19,0,19,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,MiniProgram.MiniProgramPayload,66,0,0,0,11,0,19,0,19,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Room.RoomPayload,15,30,0,0,0,8,5,8,5,8
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactGender.,9,23,0,0,0,4,3,2,3,2
report/wechaty-puppet_2.12,wechaty.puppet.schemas,SchemaGenerator,25,0,0,0,0,0,8,0,8,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventScanPayload,30,0,0,0,5,0,8,0,8,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.MessageType.,39,75,0,0,0,16,13,4,13,4
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayloadVerify,3,0,0,0,1,0,1,0,1,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipType.,40,0,0,0,5,0,6,0,6,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventRoomInvitePayload,10,0,0,0,2,0,3,0,3,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,MiniProgram.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,UrlLink.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventRoomJoinPayload,4,27,0,0,0,5,1,8,1,8
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Room.RoomMemberPayload,12,26,0,0,0,7,4,7,4,7
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventRoomLeavePayload,4,27,0,0,0,5,1,8,1,8
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Image.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,SchemaGenerator.,644,0,48,0,78,0,38,0,14,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,SchemaGenerator..anon.new FileFilter() {...},23,0,8,0,2,0,6,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayloadConfirm,3,0,0,0,1,0,1,0,1,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Room.RoomMemberQueryFilter,24,0,0,0,5,0,7,0,7,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Image.ImageType.,40,0,0,0,5,0,6,0,6,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventRoomTopicPayload,14,24,0,0,1,5,4,7,4,7
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.,5,233,4,6,0,27,5,7,1,6
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.BaseEventPayload,3,7,0,0,0,2,1,2,1,2
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.WechatMessageType.,192,0,0,0,24,0,25,0,25,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.MessagePayload,15,51,0,0,0,11,5,14,5,14
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipSearchCondition,17,0,0,0,4,0,5,0,5,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Room.,8,0,0,0,2,0,2,0,2,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventFriendshipPayload,0,10,0,0,0,2,0,3,0,3
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactType.,9,30,0,0,0,5,3,3,3,3
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.MessageQueryFilter,45,0,0,0,8,0,13,0,13,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventLogoutPayload,17,0,0,0,3,0,5,0,5,0
report/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactQueryFilter,31,0,0,0,6,0,9,0,9,0
report/wechaty-puppet_2.12,wechaty.puppet.support,FriendshipSupport,47,6,4,0,11,2,4,1,2,1
report/wechaty-puppet_2.12,wechaty.puppet.support,MessageSupport,346,53,98,2,30,10,51,2,1,2
report/wechaty-puppet_2.12,wechaty.puppet.support,RoomMemberSupport,56,55,3,5,6,12,6,4,3,3
report/wechaty-puppet_2.12,wechaty.puppet.support,ContactSupport,5,60,1,3,1,12,1,4,0,3
report/wechaty-puppet_2.12,wechaty.puppet.support,RoomSupport,12,29,2,2,3,8,3,2,1,2
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.StreamResourceBox,27,0,0,0,3,0,6,0,6,0
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox,19,1,0,0,1,1,5,1,5,1
report/wechaty-puppet_2.12,wechaty.puppet,ResourceBox.FileResourceBox,3,28,0,0,0,2,1,5,1,5
