GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.ScanStatus.,56,0,0,0,7,0,8,0,8,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetOptions,53,0,0,0,7,0,11,0,11,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipSceneType.,104,0,0,0,13,0,14,0,14,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Contact.ContactPayload,94,0,0,0,15,0,27,0,27,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventLoginPayload,10,0,0,0,2,0,3,0,3,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,RoomInvitation.,8,0,0,0,2,0,2,0,2,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet,17,0,0,0,0,0,5,0,5,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayloadReceive,24,0,0,0,4,0,7,0,7,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Message.WechatAppMessageType.,160,0,0,0,20,0,21,0,21,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Puppet.PuppetEventName.,6,138,0,0,0,18,2,17,2,17
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Event.EventMessagePayload,10,0,0,0,2,0,3,0,3,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,UrlLink.UrlLinkPayload,31,0,0,0,6,0,9,0,9,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,RoomInvitation.RoomInvitationPayload,66,0,0,0,11,0,19,0,19,0
wechaty-puppet-hostie_2.12/wechaty-puppet_2.12,wechaty.puppet.schemas,Friendship.FriendshipPayload,38,0,0,0,7,0,11,0,11,0
