GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty/wechaty-hostie,wechaty.hostie,PuppetHostie,369,273,6,4,21,10,66,54,61,54
wechaty/wechaty-hostie,wechaty.hostie,Configuration.,54,62,8,4,4,6,7,5,2,4
wechaty/wechaty-hostie,wechaty.hostie,Configuration,6,0,0,0,0,0,2,0,2,0
wechaty/wechaty-hostie,wechaty.hostie.support,MessageRawSupport,259,92,1,1,63,16,14,2,13,2
wechaty/wechaty-hostie,wechaty.hostie.support,GrpcSupport..anon.new StreamObserver() {...},6,0,0,0,4,0,4,0,4,0
wechaty/wechaty-hostie,wechaty.hostie.support,FriendshipRawSupport,141,1,6,0,35,1,8,1,5,1
wechaty/wechaty-hostie,wechaty.hostie.support,ContactSelfRawSupport,36,1,0,0,9,1,3,1,3,1
wechaty/wechaty-hostie,wechaty.hostie.support,GrpcSupport,114,112,2,2,13,22,5,6,3,6
wechaty/wechaty-hostie,wechaty.hostie.support,TagRawSupport,89,1,0,0,20,1,5,1,5,1
wechaty/wechaty-hostie,wechaty.hostie.support,RoomInvitationRawSupport,78,1,0,0,17,1,2,1,2,1
wechaty/wechaty-hostie,wechaty.hostie.support,RoomMemberRawSupport,56,40,0,0,13,12,3,2,3,2
wechaty/wechaty-hostie,wechaty.hostie.support,ContactRawSupport,148,91,12,0,26,22,10,3,4,3
wechaty/wechaty-hostie,wechaty.hostie.support,GrpcEventSupport,306,71,33,3,42,11,22,3,4,3
wechaty/wechaty-hostie,wechaty.hostie.support,RoomRawSupport,146,60,0,0,37,12,9,2,9,2
