GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wechaty_2.12,wechaty,Wechaty.,5,33,3,3,0,6,3,5,0,5
wechaty_2.12,wechaty,DingDongBotDebug.,180,0,12,0,24,0,15,0,9,0
wechaty_2.12,wechaty,Wechaty,42,220,1,1,3,28,7,26,6,26
wechaty_2.12,wechaty,WechatyOptions,21,22,0,0,0,6,6,3,6,3
wechaty_2.12,wechaty,Wechaty..anon.new Runnable() {...},2,21,1,1,0,3,1,2,0,2
wechaty_2.12,wechaty,DingDongBotDebug,7,0,0,0,0,0,2,0,2,0
wechaty_2.12,wechaty,JavaDingDongBot,83,0,2,0,16,0,6,0,5,0
wechaty_2.12,wechaty,DingDongBot.,94,0,0,0,11,0,5,0,5,0
wechaty_2.12,wechaty,DingDongBot,4,0,0,0,0,0,1,0,1,0
wechaty_2.12,wechaty.helper,ImplicitHelper.,58,83,0,0,3,7,9,15,9,15
wechaty_2.12,wechaty.user,Conversation,39,29,0,0,3,3,3,3,3,3
wechaty_2.12,wechaty.user,Tag,3,0,0,0,2,0,1,0,1,0
wechaty_2.12,wechaty.user,Message,526,311,83,19,64,47,70,22,21,20
wechaty_2.12,wechaty.user,Friendship,32,69,2,2,4,14,4,8,2,8
wechaty_2.12,wechaty.user,Room.,66,336,8,6,10,34,10,20,4,19
wechaty_2.12,wechaty.user,UrlLink,9,0,0,0,2,0,2,0,2,0
wechaty_2.12,wechaty.user,Friendship.,15,0,0,0,3,0,3,0,3,0
wechaty_2.12,wechaty.user,Contact,257,65,42,4,38,13,44,7,21,7
wechaty_2.12,wechaty.user,Image,70,0,0,0,4,0,11,0,11,0
wechaty_2.12,wechaty.user,MiniProgram,37,0,0,0,9,0,9,0,9,0
wechaty_2.12,wechaty.user,Room,497,75,30,2,40,8,55,11,39,11
wechaty_2.12,wechaty.user,ContactSelf,0,5,0,0,0,1,0,1,0,1
wechaty_2.12,wechaty.plugins,FriendshipAcceptorConfig.,29,12,2,0,0,1,7,4,6,4
wechaty_2.12,wechaty.plugins,DingDongConfig.,48,18,2,0,0,6,10,7,9,7
wechaty_2.12,wechaty.plugins,FriendshipAcceptorConfig,136,25,25,0,0,1,32,5,19,5
wechaty_2.12,wechaty.plugins,FriendshipAcceptor,44,113,4,8,2,17,7,11,4,8
wechaty_2.12,wechaty.plugins,DingDongConfig,236,51,38,0,0,6,50,10,29,10
wechaty_2.12,wechaty.plugins,DingDongPlugin,25,118,13,15,6,18,10,10,0,6
